SubProduct-ID,Name,,,,,,,
SP1,Magical Spell body Wash,,,,,,,
SP2,Velvet Touch Body Wash,,,,,,,
SP3,Soft Touch Body Wash,,,,,,,
SP4,Scarlet Blossom Body Wash,,,,,,,
SP5,Velvet Touch Bar,,,,,,,
SP6,Soft Touch Bar,,,,,,,
SP7,Charming Magnolia Bar,,,,,,,
SP8,Hypontic Rose Bar,,,,,,,
SP9,Iconic Iris Bar,,,,,,,
SP10,Fresh Splash Bar,,,,,,,
SP11,Creamy Perfection Bar,,,,,,,
SP12,Vita Protect Bodywash,,,,,,,
SP13,Cool Fresh Bodywash,,,,,,,
SP14,Betel Leaf Bodywash,,,,,,,
SP15,Lemon Fresh Bodywash,,,,,,,
SP16,Moisture Plus Bodywash,,,,,,,
SP17,Total 10 Germ Protection Bodywash,,,,,,,
SP18,Mild Care Bodywash,,,,,,,
SP19,Nature Handwash,,,,,,,
SP20,Kitchen Fresh Handwash,,,,,,,
SP21,Colour Changing Handwash,,,,,,,
SP22,Total 10 Germ Protection Handwash,,,,,,,
SP23,Mild Care Handwash,,,,,,,
SP24,Cool Fresh Handwash,,,,,,,
SP25,Lemon Fresh Soap Bar,,,,,,,
SP26,Vita Protect Soap Bar,,,,,,,
SP27,Betel Leaf Soap Bar,,,,,,,
SP28,Moisture Plus Soap Bar,,,,,,,
SP29,Mild Care Soap Bar,,,,,,,
SP30,Total 10 Germ Protection Soap Bar,,,,,,,
SP31,Cool Fresh Soap Bar,,,,,,,
SP32,Clini-Care Self Foaming Handwash Fresh,,,,,,,
SP33,Clini-care 10 Complete,,,,,,,
SP34,Clini-Care 10 Fresh Total 10 Bodywash,,,,,,,
SP35,Clini-Care Self Foaming Handwash Total 10,,,,,,,
SP36,Clini-care 10 Fresh Bar,,,,,,,
SP37,Clini-Care 10 Total 10 Bodywash,,,,,,,
SP38,Hand Sanitizer Mild Care,,,,,,,
SP39,Hand Sanitizer,,,,,,,
SP40,Hand Sanitizer Nature,,,,,,,
SP41,Hand Sanitizer Active fresh,,,,,,,
SP42,Icy Cool Mint Soap Bar,,,,,,,
SP43,Orange Splash Soap Bar,,,,,,,
SP44,Lime Rush Soap Bar,,,,,,,
SP45,Hamam Neem Tulsi & Aloe vera Soap Bar,,,,,,,
SP46,Breeze Colour Care Detergent Powder,,,,,,,
SP47,Breeze Fragrance of Comfort Detergent Powder,,,,,,,
SP48,Breeze Power Clean Detergent Powder,,,,,,,
SP49,Breeze Goodbye Musty Detergent Powder (Indoor Drying),,,,,,,
SP50,Breeze Fragrance of Comfort Liquid Detergent,,,,,,,
SP51,Breeze Colour Care Liquid Detergent,,,,,,,
SP52,Breeze Goodbye Musty Liquid Detergent (Indoor Drying),,,,,,,
SP53,Breeze Power Clean Liquid Detergent,,,,,,,
SP54,Dove Pink/Rosa Beauty Bathing Bar,75,Gms,Cardboard,Paper,,,
SP55,Dove Pink/Rosa Beauty Bathing Bar,300,Gms,Cardboard,Paper,,,
SP56,Dove Original Cream Beauty Bathing Bar,50,Gms,Cardboard,Paper,,,
SP57,Dove Original Cream Beauty Bathing Bar,75,Gms,Cardboard,Paper,,,
SP58,Dove Original Cream Beauty Bathing Bar,300,Gms,Cardboard,Paper,,,
SP59,Dove Original Cream Beauty Bathing Bar,500,Gms,Cardboard,Paper,,,
SP60,Dove go fresh moisture Beauty Bathing Bar,75,Gms,Cardboard,Paper,,,
SP61,Dove go fresh moisture Beauty Bathing Bar,225,Gms,Cardboard,Paper,,,
SP62,Dove go fresh Body Wash,190,Ml,Bottle,HDPE,,,
SP63,Dove Gentle Exfoliating Body Wash,190,Ml,Bottle,HDPE,,,
SP64,Dove Gentle Exfoliating Body Wash,190,Ml,Bottle,HDPE,,,
SP65,Dove Rich Moisture Hair to Toe baby wash,200,Ml,Bottle,HDPE,,,
SP66,Dove Rich Moisture Hair to Toe baby wash,400,Ml,Bottle,HDPE,,,
SP67,Dove Purely Pampering Shea Butter and Warm Vanilla Body Lotion,100,Ml,Bottle,HDPE,,,
SP68,Dove Purely Pampering Shea Butter and Warm Vanilla Body Lotion,250,Ml,Bottle,HDPE,,,
SP69,Dove Purely Pampering Shea Butter and Warm Vanilla Body Lotion,400,Ml,Bottle,HDPE,,,
SP70,Dove Deep Pure Face Wash,50,Ml,Tube,Plastic,,,
SP71,Dove Deep Pure Face Wash,100,Ml,Bottle,HDPE,,,
SP72,Dove go Fresh Face Wash,50,Ml,Tube,Plastic,,,
SP73,Dove go Fresh Face Wash,100,Ml,Bottle,HDPE,,,
SP74,Dove Beauty Moisture Face Wash,50,Ml,Tube,Plastic,,,
SP75,Dove Beauty Moisture Face Wash,100,Ml,Bottle,HDPE,,,
SP76,Dove go fresh Body Lotion,100,Ml,Bottle,HDPE,,,
SP77,Dove go fresh Body Lotion,250,Ml,Bottle,HDPE,,,
SP78,Dove go fresh Body Lotion,400,Ml,Bottle,HDPE,,,
HDPE,Dove Essential Nourishment Body Lotion,100,Ml,Bottle,HDPE,,,
SP80,Dove Essential Nourishment Body Lotion,250,Ml,Bottle,HDPE,,,
SP81,Dove Essential Nourishment Body Lotion,400,Ml,Bottle,HDPE,,,
SP82,Dove Original Antiperspirant Deodorant,169,Ml,Bottle,HDPE,,,
SP83,Dove Rejuvenated Volume Conditioner,240,Ml,Tube,Plastic,,,
SP84,Dove Regenerative Repair Conditioner,240,Ml,Tube,Plastic,,,
SP85,Dove Rejuvenated Volume Shampoo,240,Ml,Tube,Plastic,,,
SP86,Dove Regenerative Repair Shampoo,240,Ml,Tube,Plastic,,,
SP87,Dove Oxygen Moisture Conditioner,80,Ml,Tube,Plastic,,,
SP88,Dove Oxygen Moisture Conditioner,180,Ml,Bottle,HDPE,,,
SP89,Dove Daily Shine Conditioner ,7.5,Ml,Sachet,,,,
SP90,Dove Daily Shine Conditioner ,80,Ml,Tube,Plastic,,,
SP91,Dove Daily Shine Conditioner ,180,Ml,Bottle,HDPE,,,
SP92,Dove Intense Repair Conditioner,7.5,Ml,Sachet,,,,
SP93,Dove Intense Repair Conditioner,80,Ml,Tube,Plastic,,,
SP94,Dove Intense Repair Conditioner,180,Ml,Bottle,HDPE,,,
SP95, Dove Dandruff Care Conditioner,180,Ml,Bottle,HDPE,,,
SP96,Dove Dryness Care Conditioner,80,Ml,Tube,Plastic,,,
SP97,Dove Dryness Care Conditioner,180,Ml,Bottle,HDPE,,,
SP98,Dove Hair Fall Rescue Conditioner,7.5,Ml,Sachet,,,,
SP99,Dove Hair Fall Rescue Conditioner,80,Ml,Tube,Plastic,,,
SP100,Dove Hair Fall Rescue Conditioner,180,Ml,Bottle,HDPE,,,
SP101,Dove Elixir Nourished Shine,90,Ml,Bottle,May be Glass,,,
SP102,Dove Daily Shine Shampoo,5,Ml,Sachet,,,,
SP103,Dove Daily Shine Shampoo,7,Ml,Sachet,,,,
SP104,Dove Daily Shine Shampoo,80,Ml,Bottle,HDPE,,,
SP105,Dove Daily Shine Shampoo,180,Ml,Bottle,HDPE,,,
SP106,Dove Daily Shine Shampoo,340,Ml,Bottle,HDPE,,,
SP107,Dove Daily Shine Shampoo,650,Ml,Bottle,HDPE,,,
SP108,Dove Dandruff Care Shampoo,5,Ml,Sachet,,,,
SP109,Dove Dandruff Care Shampoo,7,Ml,Sachet,,,,
SP110,Dove Dandruff Care Shampoo,80,Ml,Bottle,HDPE,,,
SP111,Dove Dandruff Care Shampoo,180,Ml,Bottle,HDPE,,,
SP112,Dove Dandruff Care Shampoo,340,Ml,Bottle,HDPE,,,
SP113,Dove Hair Fall Rescue Shampoo,5,Ml,Sachet,,,,
SP114,Dove Hair Fall Rescue Shampoo,7,Ml,Sachet,,,,
SP115,Dove Hair Fall Rescue Shampoo,12,Ml,Sachet,,,,
SP116,Dove Hair Fall Rescue Shampoo,80,Ml,Bottle,HDPE,,,
SP117,Dove Hair Fall Rescue Shampoo,180,Ml,Bottle,HDPE,,,
SP118,Dove Hair Fall Rescue Shampoo,340,Ml,Bottle,HDPE,,,
SP119,Dove Hair Fall Rescue Shampoo,650,Ml,Bottle,HDPE,,,
SP120,Dove Intense Repair Shampoo.,5,Ml,Sachet,,,,
SP121,Dove Intense Repair Shampoo.,7,Ml,Sachet,,,,
SP122,Dove Intense Repair Shampoo.,12,Ml,Sachet,,,,
SP123,Dove Intense Repair Shampoo.,80,Ml,Bottle,HDPE,,,
SP124,Dove Intense Repair Shampoo.,180,Ml,Bottle,HDPE,,,
SP125,Dove Intense Repair Shampoo.,340,Ml,Bottle,HDPE,,,
SP126,Dove Intense Repair Shampoo.,650,Ml,Bottle,HDPE,,,
SP127,Dove Nourishing Oil Care Shampoo ,7,Ml,Sachet,,,,
SP128,Dove Nourishing Oil Care Shampoo ,80,Ml,Bottle,HDPE,,,
SP129,Dove Nourishing Oil Care Shampoo ,180,Ml,Bottle,HDPE,,,
SP130,Dove Nourishing Oil Care Shampoo ,340,Ml,Bottle,HDPE,,,
SP131,Dove Split End Rescue Shampoo,7,Ml,Sachet,,,,
SP132,Dove Split End Rescue Shampoo,80,Ml,Bottle,HDPE,,,
SP133,Dove Split End Rescue Shampoo,180,Ml,Bottle,HDPE,,,
SP134,Dove Split End Rescue Shampoo,340,Ml,Bottle,HDPE,,,
SP135,Dove Dryness Care Shampoo,80,Ml,Bottle,HDPE,,,
SP136,Dove Dryness Care Shampoo,180,Ml,Bottle,HDPE,,,
SP137,Dove Dryness Care Shampoo,340,Ml,Bottle,HDPE,,,
SP138,Pears Germ Shield with Mint Extract Soap,,,,,,,
SP139,Pears Pure and Gentle Bar,,,,,,,
SP140,Pears Pure & Gentle Hand Wash,,,,,,,
SP141,Pears – Pure & Gentle Cleansing Face wash,,,,,,,
SP142,Pears Oil Clear Soap,,,,,,,
SP143,Pears Oil Clear Hand Wash,,,,,,,
SP144,Pears Pure and Gentle Shower Gel,,,,,,,
SP145,Pears Fresh and Gentle Cleansing Face wash,,,,,,,
SP146,Pears Fresh Renewal Face Wash,,,,,,,
SP147,Pears Fresh Renewal Ultra Mild Face Wash,,,,,,,
SP148,Pears Oil Clear Glow Ultra Mild Face Wash,,,,,,,
SP149,Pears Oil Clear Cleansing Face Wash,,,,,,,
SP150,Rexona Sport Defence underarm roll-on,50,Ml,Tube,Plastic,,,
SP151,Rexona Advanced Whitening Deodorant,150,Ml,Bottle,Tin,,,
SP152,Rexona Shower Fresh Deodorant,150,Ml,Bottle,Tin,,,
SP153,Rexona Aloe Vera Deodorant,150,Ml,Bottle,Tin,,,
SP154,Rexona Aloe Vera Roll On,25,Ml,Tube,Plastic,,,
SP155,Rexona Aloe Vera Roll On,50,Ml,Tube,Plastic,,,
SP156,Rexona Powder Dry Roll On,25,Ml,Tube,Plastic,,,
SP157,Rexona Powder Dry Roll On,50,Ml,Tube,Plastic,,,
SP158,Rexona Shower Fresh Roll On,25,Ml,Tube,Plastic,,,
SP159,Rexona Shower Fresh Roll On,50,Ml,Tube,Plastic,,,
SP160,Surf excel Matic Liquid Front Load,500,Ml,Bottle,HDPE,,,
SP161,Surf excel Matic Liquid Front Load,1020,Ml,Bottle,HDPE,,,
SP162,Surf excel Matic Liquid Top Load,500,Ml,Bottle,HDPE,,,
SP163,Surf excel Matic Liquid Top Load,1020,Ml,Bottle,HDPE,,,
SP164,Surf excel Quickwash,60,Gms,Wrapper,,,,
SP165,Surf excel Quickwash,200,Gms,Wrapper,,,,
SP166,Surf excel Quickwash,500,Gms,Wrapper,,,,
SP167,Surf excel Quickwash,1000,Gms,Wrapper,,,,
SP168,Surf excel Quickwash,2000,Gms,Wrapper,,,,
SP169,Surf excel Easy Wash,95,Gms,Wrapper,,,,
SP170,Surf excel Easy Wash,200,Gms,Wrapper,,,,
SP171,Surf excel Easy Wash,700,Gms,Wrapper,,,,
SP172,Surf excel Easy Wash,1500,Gms,Wrapper,,,,
SP173,Surf excel Easy Wash,3000,Gms,Wrapper,,,,
SP174,Surf excel Easy Wash,4000,Gms,Wrapper,,,,
SP175,Surf excel Matic Front Load,500,Gms,Cardboard,Paper,,,
SP176,Surf excel Matic Front Load,1000,Gms,Cardboard,Paper,,,
SP177,Surf excel Matic Front Load,2000,Gms,Cardboard,Paper,,,
SP178,Surf excel Matic Top Load,500,Gms,Cardboard,Paper,,,
SP179,Surf excel Matic Top Load,1000,Gms,Cardboard,Paper,,,
SP180,Surf excel Matic Top Load,2000,Gms,Cardboard,Paper,,,
SP181,Surf excel Liquid Detergent,200,Ml,Bottle,HDPE,,,
SP182,Surf excel Liquid Detergent,500,Ml,Bottle,HDPE,,,
SP183,Surf excel Liquid Detergent,1020,Ml,Bottle,HDPE,,,
SP184,Surf Excel Bar,100,Gms,Wrapper,,,,
SP185,Surf Excel Bar,150,Gms,Wrapper,,,,
SP186,Surf Excel Bar,250,Gms,Wrapper,,,,
SP187,Surf Excel Bar,400,Gms,Wrapper,,,,
SP188,Surf Excel Bar,800,Gms,Wrapper,,,,
SP189,Rin Bar,250,Gms,Wrapper,,,,
SP190,Rin Detergent Hand wash Powder,12,Gms,Wrapper,,,,
SP191,Rin Detergent Hand wash Powder,55,Gms,Wrapper,,,,
SP192,Rin Detergent Hand wash Powder,130,Gms,Wrapper,,,,
SP193,Rin Detergent Hand wash Powder,250,Gms,Wrapper,,,,
SP194,Rin Detergent Hand wash Powder,500,Gms,Wrapper,,,,
SP195,Rin Detergent Hand wash Powder,1000,Gms,Wrapper,,,,
SP196,Rin Detergent Hand wash Powder,2000,Gms,Wrapper,,,,
SP197,Rin Detergent Hand wash Powder,4000,Gms,Wrapper,,,,
SP198,Rin Detergent Hand wash Powder,6000,Gms,Wrapper,,,,
SP199,Rin Refresh Detergent Powder with Lemon and Rose,500,Gms,Wrapper,,,,
SP200,Rin Refresh Detergent Powder with Lemon and Rose,1000,Gms,Wrapper,,,,
SP201,Rin Anti-bacterial Detergent Powder with Neem,500,Gms,Wrapper,,,,
SP202,Rin Anti-bacterial Detergent Powder with Neem,1000,Gms,Wrapper,,,,
SP203,Rin Matic Washing Machine Detergent Powder,1000,Gms,Cardboard,Paper,,,
SP204,Rin Ala Fabric Whitener and Bleach,200,Ml,Bottle,HDPE,,,
SP205,Rin Ala Fabric Whitener and Bleach,500,Ml,Bottle,HDPE,,,
SP206,Vim Dishwash Gel - Lemon,155,Ml,Packet,,,,
SP207,Vim Dishwash Gel - Lemon,225,Ml,Packet,,,,
SP208,Vim Dishwash Gel - Lemon,250,Ml,Bottle,PET ,,,
SP209,Vim Dishwash Gel - Lemon,500,Ml,Bottle,PET ,,,
SP210,Vim Dishwash Gel - Lemon,750,Ml,Bottle,PET ,,,
SP211,Vim Dishwash Gel - Lemon,1000,Ml,Bottle,PET ,,,
SP212,Vim Dishwash Gel - Lemon,1500,Ml,Bottle,PET ,,,
SP213,Vim Dishwash Bar,75,Gms,Wrapper,,,,75
SP214,Vim Dishwash Bar,125,Gms,Wrapper,,,,125
SP215,Vim Dishwash Bar,200,Gms,Wrapper,,,,200
SP216,Vim Dishwash Bar,300,Gms,Wrapper,,,,300
SP217,Vim Dishwash Liquid - Lemon,500,Ml,Packet,,,,
SP218,Vim Dishwash Bar - Lemon,500,Gms,Tub,,,,
SP219,Vim Dishwash Gel - Lime,250,Ml,Bottle,PET ,,,
SP220,Vim Dishwash Gel - Lime,500,Ml,Bottle,PET ,,,
SP221,Vim Antigerm Dishwash Gel - Neem,500,Ml,Bottle,PET ,,,
SP222,Vim Dishwash Liquid - Lemon,155,Ml,Packet,,,,
SP223,Vim Dishwash Liquid - Lemon,225,Ml,Packet,,,,
SP224,Vim Dishwash Liquid - Lemon,250,Ml,Bottle,PET ,,,
SP225,Vim Dishwash Liquid - Lemon,500,Ml,Bottle,PET ,,,
SP226,Vim Dishwash Liquid - Lemon,750,Ml,Bottle,PET ,,,
SP227,Vim Dishwash Liquid - Lemon,1000,Ml,Bottle,PET ,,,
SP228,Vim Dishwash Liquid - Lemon,1500,Ml,Bottle,PET ,,,
SP229,,,,,,,,
SP230,,,,,,,,
SP231,,,,,,,,
SP232,,,,,,,,
SP233,,,,,,,,
SP234,,,,,,,,
